timestamp,x,y,radius_px,in_text_region
1853.656254,0.859896,0.174074,153.7,1
1853.740904,0.806250,0.171759,257.3,1
1853.825200,0.459863,0.464833,110.5,0
1853.905427,0.636458,0.201389,201.2,1
1853.989707,0.610417,0.209722,180.3,1
1854.073845,0.595052,0.212963,154.4,1
1854.156134,0.586719,0.213889,138.2,1
1854.237637,0.581911,0.214950,128.3,1
1854.313804,0.585677,0.223148,133.6,1
1854.397631,0.591127,0.223610,140.4,1
1854.479816,0.592969,0.225000,138.9,1
1854.555699,0.607292,0.223611,157.4,1
1854.638578,0.619708,0.225239,168.4,1
1854.722686,0.628212,0.224537,162.6,1
1854.806255,0.647135,0.225000,177.6,1
1854.890175,0.658651,0.219444,172.0,1
1854.973579,0.667318,0.221296,156.6,1
1855.055971,0.696875,0.222222,184.3,1
1855.140677,0.711719,0.216667,181.3,1
1855.222573,0.721615,0.213426,163.9,1
1855.306711,0.732552,0.215741,160.0,1
1855.390183,0.744891,0.213889,158.7,1
1855.471948,0.757301,0.211318,156.5,1
1855.548081,0.770052,0.210648,161.2,1
1855.631445,0.784896,0.211111,162.6,1
1855.713692,0.802083,0.210648,167.5,1
1855.789112,0.807552,0.209259,158.8,1
1855.872942,0.818041,0.205388,158.8,1
1855.954799,0.834262,0.208787,163.0,1
1856.031138,0.837500,0.206944,157.6,1
1856.113879,0.845869,0.205187,149.0,1
1856.197962,0.852865,0.207870,142.6,1
1856.281049,0.863802,0.210185,145.7,1
1856.363214,0.872917,0.212500,140.5,1
1856.439334,0.878646,0.212963,141.5,1
1856.524621,0.822917,0.219907,252.8,1
1856.609846,0.461081,0.465115,110.0,0
1856.689040,0.647656,0.238889,202.9,1
1856.772724,0.621094,0.243519,170.2,1
1856.855322,0.609896,0.248148,149.2,1
1856.929699,0.606250,0.245833,141.6,1
1857.006384,0.603125,0.246296,133.7,1
1857.088339,0.601302,0.246296,128.0,1
1857.164264,0.603956,0.257731,129.9,1
1857.251416,0.606250,0.252315,128.8,1
1857.331662,0.614810,0.247898,138.0,1
1857.414845,0.626823,0.249074,149.2,1
1857.498589,0.645345,0.246759,166.3,1
1857.580894,0.655729,0.248611,164.3,1
