timestamp,x,y,radius_px,in_text_region
27497.974529,0.593272,0.473148,154.2,1
27498.049542,0.592410,0.469444,149.9,1
27498.126778,0.597095,0.473500,155.1,1
27498.207839,0.598698,0.473611,154.6,1
27498.283781,0.612710,0.476023,170.6,1
27498.366843,0.626771,0.470834,169.7,1
27498.450164,0.632267,0.470833,160.2,1
27498.533445,0.636906,0.470833,151.0,1
27498.616463,0.644010,0.472222,142.8,1
27498.691585,0.653385,0.475463,137.1,1
27498.774328,0.658073,0.475463,130.1,1
27498.850033,0.661458,0.475000,126.2,1
27498.932967,0.670312,0.483796,130.8,1
27499.009240,0.674997,0.476909,128.6,1
27499.092814,0.678226,0.477778,123.8,1
27499.174599,0.679780,0.478241,120.4,1
27499.251184,0.680401,0.478704,118.7,1
27499.333738,0.681198,0.476333,116.3,1
27499.416497,0.680435,0.476383,115.7,1
27499.492052,0.679349,0.478633,115.1,1
27499.574076,0.679167,0.477315,113.9,1
27499.650308,0.678950,0.479585,112.9,1
27499.732655,0.682309,0.476060,117.3,1
27499.807686,0.684115,0.475926,119.0,1
27499.884117,0.687037,0.476389,122.3,1
27499.965649,0.687678,0.477315,120.9,1
27500.041612,0.689039,0.482619,119.2,1
27500.117201,0.690412,0.483796,116.4,1
27500.198967,0.640625,0.490278,210.3,1
27500.276179,0.620171,0.474894,243.8,1
27500.359402,0.606250,0.482870,249.4,1
27500.443322,0.592448,0.481944,224.8,1
27500.525295,0.580208,0.481944,203.2,1
27500.609374,0.566406,0.482407,167.5,1
27500.693401,0.559375,0.484259,154.1,1
27500.775881,0.556510,0.486111,148.7,1
27500.859338,0.555469,0.492130,149.6,1
27500.941778,0.579167,0.502778,134.2,1
27501.017958,0.582292,0.504167,131.2,1
27501.100467,0.597348,0.502304,149.5,1
27501.182017,0.608073,0.505556,154.1,1
27501.258934,0.610347,0.505542,149.3,1
27501.342860,0.611466,0.506367,146.1,1
27501.426526,0.608027,0.530176,151.9,1
27501.510307,0.607031,0.530093,150.5,1
27501.594008,0.605208,0.529630,146.8,1
27501.675251,0.602865,0.528704,141.2,1
27501.757309,0.600853,0.529598,136.1,1
27501.832506,0.598604,0.530250,130.6,1
27501.908405,0.596615,0.531481,125.4,1
27501.982179,0.595052,0.531481,121.5,1
27502.058576,0.594010,0.531019,118.8,1
27502.134125,0.613021,0.639815,212.1,1
27502.219511,0.588594,0.656412,215.3,1
27502.301056,0.589701,0.629530,184.4,1
27502.384731,0.577411,0.618690,174.2,1
27502.469837,0.573251,0.609892,166.0,1
27502.549416,0.581913,0.592052,138.7,1
27502.625327,0.581341,0.586482,131.7,1
27502.700037,0.582736,0.576640,125.6,1
27502.775443,0.591927,0.565741,135.0,1
27502.858496,0.609428,0.563889,155.4,1
27502.933653,0.615903,0.561574,160.9,1
27503.009098,0.620520,0.561112,160.7,1
27503.091838,0.622656,0.562037,155.7,1
27503.168400,0.625050,0.562963,149.3,1
27503.251317,0.630469,0.562500,149.0,1
27503.334761,0.639844,0.571759,148.9,1
27503.417144,0.644174,0.572229,141.4,1
27503.492942,0.646307,0.573611,136.8,1
27503.574720,0.647777,0.571063,133.7,1
27503.649630,0.653646,0.562037,136.4,1
27503.725323,0.662240,0.562500,144.5,1
27503.799261,0.670021,0.563421,143.8,1
27503.874324,0.686458,0.566204,166.5,1
27503.951917,0.700000,0.573611,181.1,1
27504.034138,0.704559,0.572986,172.7,1
27504.118545,0.719507,0.566668,174.7,1
27504.201525,0.733594,0.570370,174.8,1
27504.285428,0.742448,0.568981,162.9,1
27504.368117,0.747894,0.568057,152.1,1
27504.451049,0.751302,0.568981,144.7,1
27504.533406,0.767997,0.580556,150.4,1
27504.608918,0.771196,0.578261,144.8,1
27504.692339,0.775781,0.585185,137.0,1
27504.767113,0.735417,0.573611,216.5,1
27504.843531,0.697917,0.570370,284.2,1
27504.925355,0.661719,0.558333,273.9,1
27504.999911,0.607031,0.557407,170.7,1
27505.075784,0.599219,0.554630,154.7,1
27505.158072,0.593698,0.553402,142.6,1
27505.233986,0.590625,0.557407,136.1,1
27505.308113,0.588021,0.557407,129.9,1
27505.383745,0.603125,0.553241,156.7,1
27505.458705,0.676302,0.568519,286.7,1
27505.616394,0.781771,0.587963,197.6,1
27505.694148,0.796354,0.586111,177.6,1
27505.777781,0.817448,0.587500,147.3,1
27505.860192,0.751042,0.588889,270.5,1
27505.942174,0.467708,0.423148,53.5,0
27506.016881,0.637226,0.574073,223.6,1
27506.093389,0.605469,0.574074,162.8,1
27506.175843,0.596915,0.581945,148.1,1
27506.258908,0.585356,0.575000,137.2,1
27506.333587,0.579866,0.574074,126.9,1
27506.410384,0.577344,0.574537,121.9,1
27506.492255,0.578453,0.573148,122.0,1
27506.566235,0.580297,0.576389,123.5,1
27506.643404,0.580965,0.575720,122.2,1
27506.725427,0.573177,0.582870,136.0,1
27506.800616,0.573958,0.569444,133.2,1
27506.876360,0.570833,0.582407,136.3,1
27506.958141,0.463802,0.400463,59.5,0
27507.038946,0.691667,0.577315,285.2,1
27507.117552,0.758854,0.578241,174.7,1
27507.194038,0.783073,0.578241,169.8,1
27507.276217,0.796950,0.579095,151.4,1
27507.357927,0.810156,0.588889,150.3,1
27507.434760,0.817187,0.593056,148.9,1
27507.518168,0.802344,0.594444,182.7,1
27507.603619,0.469294,0.403411,58.2,0
27507.685108,0.636979,0.585185,217.5,1
27507.776117,0.604427,0.586574,168.8,1
27507.851044,0.598410,0.586111,156.1,1
27507.925803,0.594271,0.586574,147.1,1
27508.001813,0.590545,0.586111,137.2,1
27508.086261,0.589033,0.585647,132.1,1
27508.167442,0.588431,0.585185,127.4,1
27508.242075,0.589625,0.582407,125.4,1
27508.319854,0.592522,0.585648,123.7,1
27508.400056,0.606324,0.587384,142.3,1
27508.476316,0.614003,0.584502,146.3,1
27508.559033,0.618490,0.585185,141.9,1
27508.633971,0.627865,0.587500,149.9,1
